	neo_search_transaction_id	variable	value
0	73002	names	"[{""names"": ""Dulan's Soul Food Resturant""}, {""names"": ""Dulan's Soul Food Kitchen""}, {""names"": ""Greg  Brenda Enterprises"", ""entity"": ""Inc""}]"
1	73003	names	"[{""names"": ""The Fish Keg""}]"
3	73011	names	"[{""names"": ""Brown Sugar's BarBQ""}]"
5	73014	names	"[{""names"": ""Gino's Pizza CLOSED""}, {""names"": ""Gino's Pizzeria  Wings""}, {""names"": ""Gino's Pizza  Spaghetti""}, {""names"": ""Gino's Pizza""}]"
6	73028	names	"[{""names"": ""Metropolitan Tower Office Building""}, {""names"": ""Club Metropolitan Tower"", ""entity"": ""Inc""}, {""names"": ""Metropolitan Tower""}, {""names"": ""Macklowe Properties""}]"
7	73029	names	"[{""names"": ""LoftLivingLAcom Downtown Los Angeles Real Estate Loft Living"", ""entity"": ""LA""}]"
8	73030	names	"[{""names"": ""Seaport Homes Luxury Condos  Townhouses Northwest San Pedro San Pedro CA""}]"
12	73034	names	"[{""names"": ""Riverbend Condominiums""}, {""names"": ""Draper and Kramer"", ""entity"": ""Incorporated""}, {""names"": ""CONDOMINIUMS FARWELL""}, {""names"": ""Armitage Francis Condominiums""}, {""names"": ""Edgewater Plaza""}]"
13	73035	names	"[{""names"": ""Museum Pointe Condominiums""}, {""names"": ""Museum Park Tower 3""}, {""names"": ""Museum Pointe Condominium""}, {""names"": ""Museum Contemporary Art Store""}]"
14	73036	names	"[{""names"": ""Fordham""}, {""names"": ""Fordham Condominium""}, {""names"": ""The Fordham""}, {""names"": ""The Fordham Condominium""}, {""names"": ""SP Parking @ Fordham Garage""}]"
15	73037	names	"[{""names"": ""North 18 Condominiums""}, {""names"": ""Condominums""}]"
16	73038	names	"[{""names"": ""Lake Park Plaza"", ""entity"": ""Inc""}, {""names"": ""Lake Park Plaza Condo""}]"
17	73039	names	"[{""names"": ""The Warwick Towers of CoOwners""}, {""names"": ""Warwick Towers""}]"
18	73040	names	"[{""names"": ""Wilcrest Garden Condominiums Residential Building Apartment  Condo in Alief""}, {""names"": ""Wilcrest Garden Condominiums""}, {""names"": ""Wilcrest Garden Condominiums Home Owners""}]"
19	73041	names	"[{""names"": ""Champions Valley Town Homes""}]"
20	73042	names	"[{""names"": ""Brant Rock Apartments""}, {""names"": ""Brant Rock""}]"
21	73043	names	"[{""names"": ""Huntington Village Townhome""}]"
22	73044	names	"[{""names"": ""HOPKINSON HOUSE OWNERS'""}, {""names"": ""Hopkinson House Owners""}]"
23	73045	names	"[{""names"": ""PARK PLAZA BEAUTY""}, {""names"": ""Park Plaza""}, {""names"": ""Park Plaza Condominium""}, {""names"": ""Park Plaza Condo""}]"
24	73046	names	"[{""names"": ""CARRIAGE HOUSE HERBS""}]"
25	73047	names	"[{""names"": ""Fountain Pointe""}, {""names"": ""Fountain PointePhiladelphia""}, {""names"": ""Fountain Of Philadelphia""}]"
26	73048	names	"[{""names"": ""The Ellington""}, {""names"": ""THE ELLINGTON CONDOMINIUM""}, {""names"": ""The Ellington Condos""}]"
27	73049	names	"[{""names"": ""Apartment and Home Solutions""}]"
29	73051	names	"[{""names"": ""Casa Fiesta Townhouse""}, {""names"": ""CASA FIESTA TOWNHOUSES""}]"
30	73052	names	"[{""names"": ""Fontenelle Lofts""}, {""names"": ""THE FONTENELLE LOFTS CONDOMINIUM""}]"
31	73053	names	"[{""names"": ""Judy Blake Real Estate Homesmart""}]"
32	73054	names	"[{""names"": ""CALAIS VILLAS CONDOMINIUMS HOMEOWNERS"", ""entity"": ""Inc""}]"
34	73056	names	"[{""names"": ""LAFAYETTE PLACE HOME OWNERS""}]"
35	73057	names	"[{""names"": ""RAMPART CROSSING HOMEOWNERS"", ""entity"": ""INC""}]"
36	73058	names	"[{""names"": ""LAS SOMBRAS CONDOMINIUM""}]"
37	73059	names	"[{""names"": ""DANA HORNE PROPERTIES"", ""entity"": ""INC""}]"
38	73061	names	"[{""names"": ""Park Villas North Condo""}, {""names"": ""Park Villas North Condominium"", ""entity"": ""INC""}]"
39	73062	names	"[{""names"": ""Scripps Westview Homeowners""}, {""names"": ""WESTVIEW CONDOMINIUMS""}, {""names"": ""Westview Homeowners""}]"
40	73063	names	"[{""names"": ""JP REALTORS Uptown""}, {""names"": ""Tim Stoll Dallas""}]"
41	73064	names	"[{""names"": ""Hillcrest Villa"", ""entity"": ""Inc""}]"
42	73065	names	"[{""names"": ""Travis At Katy Trail""}, {""names"": ""TRAVIS PLACE CONDOMINIUMS"", ""entity"": ""INC""}, {""names"": ""Highrisescom"", ""entity"": ""Inc""}]"
43	73066	names	"[{""names"": ""Preston Hills Condominium Hoa""}]"
44	73067	names	"[{""names"": ""Turtle Creek Gardens Condos""}, {""names"": ""Turtle Creek Gardens"", ""entity"": ""Inc""}]"
45	73068	names	"[{""names"": ""Cinnabar Condominium""}]"
47	73070	names	"[{""names"": ""Willow Glen Place""}, {""names"": ""Willow Glen Place The Terraces""}]"
48	73071	names	"[{""names"": ""Terrace Hills Townhouse Owners""}]"
49	73072	names	"[{""names"": ""Mint  Basil in Vietnam Town""}, {""names"": ""Vietnam Town Property"", ""entity"": ""LLC""}, {""names"": ""Vietnam Town Condo""}]"
56	73014	stats	"{""companies_at_address"": {""companies_at_address"": ""2""}}"
60	73031	stats	"{""companies_at_address"": {""companies_at_address"": ""4""}}"
67	73038	stats	"{""companies_at_address"": {""companies_at_address"": ""11""}}"
68	73039	stats	"{""companies_at_address"": {""companies_at_address"": ""23""}}"
72	73043	stats	"{""companies_at_address"": {""companies_at_address"": 1}}"
73	73044	stats	"{""companies_at_address"": {""companies_at_address"": ""32""}, ""number_of_interviews"": {""number_of_interviews"": ""--""}}"
74	73045	stats	"{""companies_at_address"": {""companies_at_address"": ""2""}}"
77	73048	stats	"{""companies_at_address"": {""companies_at_address"": ""6""}}"
79	73050	stats	"{""companies_at_address"": {""companies_at_address"": ""4""}}"
80	73051	stats	"{""companies_at_address"": {""companies_at_address"": 1}}"
83	73054	stats	"{""companies_at_address"": {""companies_at_address"": ""4""}}"
84	73055	stats	"{""companies_at_address"": {""companies_at_address"": ""3""}}"
85	73056	stats	"{""companies_at_address"": {""companies_at_address"": ""12""}}"
86	73057	stats	"{""companies_at_address"": {""companies_at_address"": ""2""}}"
87	73058	stats	"{""companies_at_address"": {""companies_at_address"": ""4""}}"
90	73062	stats	"{""companies_at_address"": {""companies_at_address"": ""4""}}"
93	73065	stats	"{""companies_at_address"": {""companies_at_address"": ""5""}}"
101	73073	stats	"{""companies_at_address"": {""companies_at_address"": ""3""}}"
102	73002	images	"[{""images"": ""http://archive.lasentinel.net/UserFiles/File/051712/Cook%20and%20Dulan.JPG""}, {""images"": ""https://searchanddevour.files.wordpress.com/2011/02/soulfriedchicken.jpg""}, {""images"": ""https://lasentinel.net/wp-content/uploads/sites/5/2016/07/1714-Dulans-Exterior-1.jpg""}, {""images"": ""https://logo.clearbit.com/dulansoncrenshaw.com""}, {""images"": ""https://d2ojpxxtu63wzl.cloudfront.net/static/e7cd6e9fbbacc58845be31cb42293356_567ac300ac7713102ea0689061df647d38babef572c5c438b845d02b8d494f1d""}]"
